,formula,structure,spacegroup,formation_energy_ev_natom,bandgap_energy_ev
10,Al2O3,"Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   2.673918   4.668598   7.045032
angles:  89.696825  91.402849 106.469664
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.994088  0.9989    0.000567
  1  Al    0.744332  0.506861  0.254741
  2  Al    0.240715  0.492471  0.753495
  3  Al    0.996069  0.000348  0.500031
  4  O     0.351918  0.732501  0.420506
  5  O     0.100424  0.213579  0.249258
  6  O     0.640867  0.269441  0.575301
  7  O     0.61873   0.268183  0.920143
  8  O     0.88568   0.784204  0.749508
  9  O     0.372363  0.729886  0.075543",63,-3.16354660075,4.271699999999999
11,Al2O3,"Full Formula (Al12 O18)
Reduced Formula: Al2O3
abc   :   5.223179   5.621682  32.482574
angles:  53.101534  41.173470  58.926638
Sites (30)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Al    0.921964  -0.030223  0.976341
  1  Al    0.372728   0.741862  0.141416
  2  Al    0.157359   0.210755  0.523999
  3  Al    0.497183   0.713615  0.223263
  4  Al    0.628609   0.567036  0.367978
  5  Al    0.853194   0.341993  0.45713
  6  Al    0.132991   0.292982  0.787818
  7  Al    0.508584   0.642849  0.559413
  8  Al    0.678082   0.614754  0.622166
  9  Al    0.797117   0.458397  0.721764
 10  Al    0.522616   0.736297  0.820884
 11  Al    0.746679   0.620776  0.891121
 12  O     0.601406   0.622724  0.170323
 13  O     0.64182    0.794265  0.061266
 14  O     0.875335   0.792902  0.198576
 15  O     0.030622   0.736706  0.29488
 16  O     0.527137   0.490829  0.439143
 17  O     0.329919   0.423605  0.384397
 18  O     0.770461   0.407582  0.514128
 19  O     0.648362   0.006917  0.508558
 20  O     0.883946   0.395144  0.578187
 21  O     0.069786   0.826608  0.563499
 22  O     0.507332   0.54975   0.700049
 23  O     0.226125   0.630115  0.644049
 24  O     0.749369   0.497927  0.77765
 25  O     0.638192   0.105573  0.772042
 26  O     0.85125    0.500105  0.839571
 27  O     0.878088   0.348072  0.940024
 28  O     0.058591   0.898295  0.83738
 29  O     0.265156   0.771787  0.924984",1,-3.1082508747500004,3.1115
12,Al2O3,"Full Formula (Al16 O24)
Reduced Formula: Al2O3
abc   :  16.853381   5.657439   5.657435
angles:  90.052374  60.446030  59.143250
Sites (40)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    1         0.001038  0.001038
  1  Al    0.091924  0.344113  0.105901
  2  Al    0.090082  0.347086  0.615872
  3  Al    0.332075  0.018398  0.006219
  4  Al    0.167925  0.731602  0.243781
  5  Al    0.25      0.375     0.625
  6  Al    0.408076  0.405887  0.144099
  7  Al    0.409918  0.402914  0.634128
  8  Al    0.667925  0.002444  0.014623
  9  Al    0.5       0.748962  0.248962
 10  Al    0.591924  0.368326  0.630114
 11  Al    0.75      0.375     0.125
 12  Al    0.590082  0.863882  0.632668
 13  Al    0.832075  0.747556  0.235377
 14  Al    0.908076  0.381674  0.619886
 15  Al    0.909918  0.886118  0.617332
 16  O     0.080882  0.1369    0.376212
 17  O     0.073458  0.160154  0.887258
 18  O     0.074921  0.610841  0.384922
 19  O     0.244844  0.151997  0.387992
 20  O     0.086395  0.600479  0.867593
 21  O     0.254581  0.597753  0.370779
 22  O     0.245419  0.152247  0.879221
 23  O     0.413605  0.149521  0.382407
 24  O     0.255156  0.598003  0.862008
 25  O     0.425079  0.139159  0.865078
 26  O     0.426542  0.589846  0.362742
 27  O     0.574921  0.140317  0.414397
 28  O     0.419118  0.6131    0.873788
 29  O     0.586395  0.623222  0.390335
 30  O     0.580882  0.131141  0.870453
 31  O     0.745419  0.134523  0.361496
 32  O     0.573458  0.642367  0.86947
 33  O     0.755157  0.122523  0.886527
 34  O     0.744843  0.627477  0.363473
 35  O     0.926542  0.107633  0.38053
 36  O     0.754581  0.615477  0.888504
 37  O     0.919118  0.618859  0.379547
 38  O     0.913605  0.126778  0.859665
 39  O     0.925079  0.609683  0.835603",15,-3.4095262542499993,4.5982
13,Al2O3,"Full Formula (Al12 O18)
Reduced Formula: Al2O3
abc   :  13.842341   2.913709   7.114438
angles:  90.000000 102.877671  90.000000
Sites (30)
  #  SP           a     b         c
---  ----  --------  ----  --------
  0  Al    0.027844  0.25  0.173902
  1  Al    0.112743  0.25  0.56173
  2  Al    0.212733  0.75  0.197621
  3  Al    0.297612  0.75  0.81317
  4  Al    0.412266  0.25  0.53334
  5  Al    0.39757   0.25  0.151336
  6  Al    0.60243   0.75  0.848664
  7  Al    0.587734  0.75  0.46666
  8  Al    0.702388  0.25  0.18683
  9  Al    0.787267  0.25  0.802379
 10  Al    0.887257  0.75  0.43827
 11  Al    0.972156  0.75  0.826098
 12  O     0.002084  0.75  0.3421
 13  O     0.167777  0.75  0.685303
 14  O     0.07765   0.75  0.041029
 15  O     0.160302  0.25  0.332954
 16  O     0.329845  0.25  0.694871
 17  O     0.256798  0.25  0.054582
 18  O     0.345008  0.75  0.357763
 19  O     0.406773  0.75  0.013262
 20  O     0.495616  0.75  0.646096
 21  O     0.504384  0.25  0.353904
 22  O     0.593227  0.25  0.986738
 23  O     0.654992  0.25  0.642237
 24  O     0.743202  0.75  0.945418
 25  O     0.670155  0.75  0.305129
 26  O     0.839697  0.75  0.667046
 27  O     0.92235   0.25  0.958971
 28  O     0.832223  0.25  0.314697
 29  O     0.997916  0.25  0.6579",11,-3.351978652083334,4.662399999999999
14,Al2O3,"Full Formula (Al4 O6)
Reduced Formula: Al2O3
abc   :   4.848801   5.316091   4.848800
angles: 117.132477  59.999999 117.132477
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0         0         0
  1  Al    0.5       0.5       0.5
  2  Al    0.306733  0.920201  0.306733
  3  Al    0.693267  0.079799  0.693267
  4  O     0.2794    0.77557   0.603643
  5  O     0.396357  0.22443   0.107473
  6  O     0.107473  0.22443   0.7206
  7  O     0.892527  0.77557   0.2794
  8  O     0.603643  0.77557   0.892527
  9  O     0.7206    0.22443   0.396357",148,-3.3765272017499997,5.667699999999999
15,Al2O3,"Full Formula (Al16 O24)
Reduced Formula: Al2O3
abc   :   4.827573   5.090363  14.095221
angles:  90.000000  90.000000  90.000000
Sites (40)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.99974   0.185049  0.072853
  1  Al    0.997959  0.747036  0.178637
  2  Al    0.99974   0.314951  0.572853
  3  Al    0.997959  0.752964  0.678637
  4  Al    0.502041  0.247036  0.178637
  5  Al    0.502041  0.252964  0.678637
  6  Al    0.50026   0.685049  0.072853
  7  Al    0.50026   0.814951  0.572853
  8  Al    0.49974   0.185049  0.427147
  9  Al    0.49974   0.314951  0.927147
 10  Al    0.497959  0.747036  0.321363
 11  Al    0.497959  0.752964  0.821363
 12  Al    0.00026   0.685049  0.427147
 13  Al    0.002041  0.247036  0.321363
 14  Al    0.002041  0.252964  0.821363
 15  Al    0.00026   0.814951  0.927147
 16  O     0.14301   0.11866   0.203287
 17  O     0.14301   0.38134   0.703287
 18  O     0.153792  0.83651   0.04984
 19  O     0.153792  0.66349   0.54984
 20  O     0.198003  0.963291  0.37661
 21  O     0.198003  0.536709  0.87661
 22  O     0.301997  0.463291  0.37661
 23  O     0.301997  0.036709  0.87661
 24  O     0.346208  0.16349   0.54984
 25  O     0.346208  0.33651   0.04984
 26  O     0.35699   0.61866   0.203287
 27  O     0.35699   0.88134   0.703287
 28  O     0.64301   0.11866   0.296713
 29  O     0.64301   0.38134   0.796713
 30  O     0.653792  0.83651   0.45016
 31  O     0.653792  0.66349   0.95016
 32  O     0.698003  0.536709  0.62339
 33  O     0.698003  0.963291  0.12339
 34  O     0.801997  0.463291  0.12339
 35  O     0.801997  0.036709  0.62339
 36  O     0.846208  0.33651   0.45016
 37  O     0.846208  0.16349   0.95016
 38  O     0.85699   0.88134   0.796713
 39  O     0.85699   0.61866   0.296713",61,-3.39431261175,5.4415000000000004
16,AlO2,"Full Formula (Al2 O4)
Reduced Formula: AlO2
abc   :   2.976323   3.646612   5.604037
angles:  90.000000 105.399731  90.000000
Sites (6)
  #  SP           a     b         c
---  ----  --------  ----  --------
  0  Al    0.668133  0.25  0.336267
  1  Al    0.331867  0.75  0.663733
  2  O     0.294184  0.25  0.588368
  3  O     0.705816  0.75  0.411632
  4  O     0.061072  0.25  0.122144
  5  O     0.938928  0.75  0.877856",63,-2.5763225658333333,0.0
17,Al2O3,"Full Formula (Al8 O12)
Reduced Formula: Al2O3
abc   :   5.570542   8.370932   5.483337
angles:  90.000000  58.240864  90.000000
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.948226  0.042511  0.284421
  1  Al    0.948226  0.457489  0.784421
  2  Al    0.535784  0.34366   0.704589
  3  Al    0.464216  0.84366   0.795411
  4  Al    0.535784  0.15634   0.204589
  5  Al    0.464216  0.65634   0.295411
  6  Al    0.051774  0.542511  0.215579
  7  Al    0.051774  0.957489  0.715579
  8  O     0.17546   0.10881   0.430202
  9  O     0.318987  0.705266  0.081355
 10  O     0.17546   0.39119   0.930202
 11  O     0.249681  0.480876  0.421528
 12  O     0.750319  0.980876  0.078472
 13  O     0.318987  0.794734  0.581355
 14  O     0.681013  0.205266  0.418645
 15  O     0.249681  0.019124  0.921528
 16  O     0.750319  0.519124  0.578472
 17  O     0.82454   0.60881   0.069798
 18  O     0.681013  0.294734  0.918645
 19  O     0.82454   0.89119   0.569798",14,-3.3655059807499996,4.369999999999999
18,Al2O3,"Full Formula (Al32 O48)
Reduced Formula: Al2O3
abc   :   5.638646   5.676733  33.903578
angles:  59.846876  59.402191  59.776307
Sites (80)
  #  SP           a          b         c
---  ----  --------  ---------  --------
  0  Al    0.004233   0.497987  0.083299
  1  Al    0.486768   0.486862  0.006585
  2  Al    0.128006   0.113921  0.190692
  3  Al    0.494911   0.498259  0.08277
  4  Al    0.463184   0.505496  0.170971
  5  Al    0.142356   0.118197  0.353542
  6  Al    0.494911   0.01021   0.08277
  7  Al    0.500419   0.498342  0.250397
  8  Al    0.990597   0.496047  0.419552
  9  Al    0.533204   0.492239  0.330386
 10  Al    0.500419  -0.001143  0.250397
 11  Al    0.858881   0.881929  0.14621
 12  Al    0.122435   0.119282  0.523167
 13  Al    0.499516   0.496551  0.41972
 14  Al    0.010733   0.50556   0.579691
 15  Al    0.499516   0.985615  0.41972
 16  Al    0.870036   0.880363  0.31154
 17  Al    0.135423   0.12038   0.687303
 18  Al    0.502495   0.505283  0.579392
 19  Al    0.469417   0.509524  0.668589
 20  Al    0.505297   0.003102  0.748129
 21  Al    0.502495   0.015867  0.579392
 22  Al    0.148283   0.127531  0.849443
 23  Al    0.88023    0.883031  0.475618
 24  Al    0.505297   0.502825  0.748129
 25  Al    0.536287   0.496574  0.828427
 26  Al    0.859952   0.88335   0.645558
 27  Al    0.495511   0.49491   0.917978
 28  Al    0.495511   0.001714  0.917978
 29  Al    0.871892   0.881975  0.810693
 30  Al    0.006677   0.494527  0.917378
 31  Al    0.865668   0.871479  0.981896
 32  O     0.256701   0.259439  0.045971
 33  O     0.244755   0.252041  0.125194
 34  O     0.256701   0.708031  0.045971
 35  O     0.708721   0.258424  0.045738
 36  O     0.276077   0.239142  0.208428
 37  O     0.263242   0.744056  0.124774
 38  O     0.734273   0.281639  0.123843
 39  O     0.276077   0.734214  0.208428
 40  O     0.277383   0.240407  0.290301
 41  O     0.737101   0.742696  0.046251
 42  O     0.728596   0.256007  0.209898
 43  O     0.734273   0.74103   0.123843
 44  O     0.262612   0.256604  0.377768
 45  O     0.268807   0.738637  0.29232
 46  O     0.720817   0.259017  0.293978
 47  O     0.721378   0.757504  0.210602
 48  O     0.262612   0.71418   0.377768
 49  O     0.256593   0.252018  0.456561
 50  O     0.73335    0.253324  0.376668
 51  O     0.720817   0.7563    0.293978
 52  O     0.239528   0.240606  0.547007
 53  O     0.264234   0.758386  0.453166
 54  O     0.746124   0.738708  0.37941
 55  O     0.758783   0.263539  0.453264
 56  O     0.239528   0.737819  0.547007
 57  O     0.255166   0.261645  0.620257
 58  O     0.737401   0.240082  0.547072
 59  O     0.758783   0.758098  0.453264
 60  O     0.282034   0.242447  0.705784
 61  O     0.266241   0.74639   0.623496
 62  O     0.743638   0.748249  0.543311
 63  O     0.282034   0.740813  0.705784
 64  O     0.736732   0.286055  0.622447
 65  O     0.283814   0.24888   0.786405
 66  O     0.736517   0.25961   0.707377
 67  O     0.736732   0.742531  0.622447
 68  O     0.260066   0.257683  0.87512
 69  O     0.271258   0.741955  0.790805
 70  O     0.725886   0.758217  0.709613
 71  O     0.273854   0.270363  0.94757
 72  O     0.723042   0.260908  0.792603
 73  O     0.260066   0.731532  0.87512
 74  O     0.745746   0.255635  0.873831
 75  O     0.723042   0.76043   0.792603
 76  O     0.270105   0.745434  0.956505
 77  O     0.744596   0.272227  0.956389
 78  O     0.744007   0.739412  0.879528
 79  O     0.744596   0.744845  0.956389",8,-3.3848103986249996,3.0751999999999997
19,AlO3,"Full Formula (Al2 O6)
Reduced Formula: AlO3
abc   :   5.315070   5.315070   5.315070
angles:  58.054986  58.054986  58.054984
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.161889  0.161889  0.161889
  1  Al    0.661889  0.661889  0.661889
  2  O     0.412031  0.940139  0.883641
  3  O     0.883641  0.412031  0.940139
  4  O     0.940139  0.883641  0.412031
  5  O     0.912031  0.383641  0.440139
  6  O     0.383641  0.440139  0.912031
  7  O     0.440139  0.912031  0.383641",167,-1.6054696234375,0.0
